,순번,주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
0,1,117-1-000006,메이퀸컨벤션 뒤,공영,노상,,서울특별시 금천구 독산1동 152-1,22,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.47454,126.8881272,2019-04-30
1,2,117-1-000007,조양화학,공영,노상,,서울특별시 금천구 독산1동 336-25,67,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.477821,126.8894918,2019-04-30
2,3,117-1-000008,유진골프장,공영,노상,,서울특별시 금천구 독산1동 1081-3,40,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.4789473,126.888824,2019-04-30
3,4,117-1-000009,모아래5길,공영,노상,,서울특별시 금천구 독산1동 336-3,27,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.483859,126.8817681,2019-04-30
4,5,117-1-000010,세라믹기술원,공영,노상,,서울특별시 금천구 가산동 237-101,13,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.4793995,126.8846022,2019-04-30
5,6,117-1-000011,지식산업센터(기륭전자),공영,노상,,서울특별시 금천구 가산동 219-7,23,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.4769001,126.884809,2019-04-30
6,7,117-1-000012,LG전자,공영,노상,,서울특별시 금천구 가산동 60-32,35,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.4784241,126.883311,2019-04-30
7,8,117-1-000013,우리은행,공영,노상,,서울특별시 금천구 가산동 60-10,12,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.4746015,126.8834684,2019-04-30
8,9,117-1-000014,만승뒤(협동봉제),공영,노상,,서울특별시 금천구 가산동 139-18,11,2.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.4707841,126.8867404,2019-04-30
9,10,117-1-000015,가산디지털환승,공영,노상,,서울특별시 금천구 가산동 35-2,41,4.0,요일제,평일,08:30,19:00,00:00,00:00,00:00,00:00,유료,30.0,1500.0,5.0,250.0,600.0,15000.0,130000.0,카드 및 현금,경차50퍼센트할인,서울특별시 금천구청,02-2627-1732,37.4741472,126.8825889,2019-04-30
